ID,Localisation,Rack,Nom du matériel,Type,Nb Elts,Architecture,U,MARQUE,MODELE,numéro de série,"CONSO(Watt)",I,"PDUOndulé","PDUNormal",cluster,critique,domaine,gestion,Action,Phase,Salle,Îlot,Baie,Id-baie,"FCTotal","FCCalculé","FCUtilisé","FCFutur","RJ45Total","RJ45Calculé","RJ45Utilisé","RJ45Futur","10GbpsFutur","RJ45CM","IPMI Dédié","IPMIUtilisé","IPMIFutur",Slot 1,Slot 2,Slot 3,Slot 4,Slot 5,Slot 6,Slot 7,,,,,,,,IP,"Hostname <> Machine",Etat configuration réseau,Actions conf réseau à mener
53,TPB -1,DEM1,H-SEC-02,Serveur,1,Rackable,2,DELL,PowerEdge R730,79XWH82,322,,,,∞,,Cluster admin,DOIP,Déménagement,2,S2,1,4,S2-1-4,0,0,0,0,,8,2,4,,4,1,,1,,,,2RJ,,2RJ,,Err :502,Err :502,Err :502,2,Err :502,2,Err :502,-,Pas installé,,?
54,TPB -1,DEM1,HORDE-04,Serveur,1,Rackable,4,DELL,PowerEdge 6850,84TXB3J,760,"3,30",,,∞,,Cluster Messagerie,DOIP,Déménagement,2,S2,1,7,S2-1-7,0,0,0,0,,4,1,2,,2,0,,0,1,,1,,,,VGA,1,Err :502,1,Err :502,Err :502,Err :502,Err :502,10.167.124.132,,"Eth0(10.167.124.132), +vlan1534","Créer un bond0 avec eth0 et eth1, lui affecter l'ip  10.167.124.132. Appliquer le vlan1534 sur le bond0"
55,TPB -1,DEM1,HORDE-06,Serveur,1,Rackable,4,DELL,PowerEdge 6850,B4TXB3J,760,"3,30",,,∞,,Cluster Messagerie,DOIP,Déménagement,2,S2,1,7,S2-1-7,0,0,0,0,,4,1,2,,2,0,,0,1,,1,,,,VGA,1,Err :502,1,Err :502,Err :502,Err :502,Err :502,10.167.124.134 (résolution rcube-02),Rcube-02,"Eth0(10.167.124.134), +vlan1534","Créer un bond0 avec eth0 et eth1, lui affecter l'ip  10.167.124.134. Appliquer le vlan1534 sur le bond0"
56,TPB -1,DEM2,DNS-CS-02,Serveur,1,Rackable,1,DELL,PowerEdge R410,CWV6X4J,143,"0,62",,,,,Singleton admin,DOIP,Déménagement,4,Stock,,,Stock--,0,0,0,0,,2,0,0,,2,0,,0,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,10.167.130.22,,,Stocker
57,TPB -1,DEM2,ELASTIC-02,Serveur,1,Rackable,1,DELL,PowerEdge R610,DBD2F4J,190,"0,83",,,∞,,Cluster admin,DOIP,Déménagement,2,S2,1,5,S2-1-5,0,0,0,0,,6,1,2,,4,0,,1,,2RJ,,,,,,Err :502,2,Err :502,Err :502,Err :502,Err :502,Err :502,10.167.130.117,,Eth0(10.167.130.117),"Créer un bond0 avec eth0 et eth1, lui affecter l'ip  10.167.130.117"
58,TPB -1,DEM2,H-ACAI-05,Serveur,1,Rackable,2,DELL,PowerEdge R820,CPH4ZZ1,196,"0,85",,,∞,,Cluster admin,DOIP,Déménagement,4,S1,1,,S1-1-,2,2,2,2,,8,6,6,,4,1,,1,4RJ,1FC,,,,1FC,,4,-1,Err :502,Err :502,Err :502,-1,Err :502,10.167.129.76,,Je ne peux pas m'authentifier sur la machine,Déménagement en l'état
59,TPB -1,DEM2,H-ACAI-07,Serveur,1,Rackable,2,DELL,PowerEdge R820,8PH4ZZ1,196,"0,85",,,∞,,Cluster admin,DOIP,Déménagement,4,S1,1,,S1-1-,2,2,2,2,,8,6,6,,4,1,,1,4RJ,1FC,,,,1FC,,4,-1,Err :502,Err :502,Err :502,-1,Err :502,10.167.129.78,,Je ne peux pas m'authentifier sur la machine,Déménagement en l'état
60,TPB -1,DEM2,H-DEV-02,Serveur,1,Rackable,2,DELL,PowerEdge 2950,B5QM03J,350,"1,52",,,∞,,Cluster admin,DOIP,Déménagement,2,S1,2,,S1-2-,2,2,2,2,,6,3,4,,2,0,,0,2FC,2RJ,2RJ,,,,,-2,2,2,Err :502,Err :502,Err :502,Err :502,10.167.129.80,,Je ne peux pas m'authentifier sur la machine,?
61,TPB -1,DEM2,H-RIE-PARIS02,Serveur,1,Rackable,2,DELL,PowerEdge R810,GHLT75J,370,"1,61",,,∞,,Cluster admin,DOIP,Déménagement,2,S2,1,3,S2-1-3,0,0,0,0,,4,4,4,,4,0,,1,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,10.167.129.162,,"bond0(eth0-eth2,10.167.129.162) + bond1(eth1-eth3, vlan1630, vlan1667, vlan1668, vlan770, vlan772, vlan778)",Déménagement en l'état
62,TPB -1,DEM2,H-SGBD-02,Serveur,1,Rackable,2,DELL,PowerEdge R820,6Z4LJ32,252,"1,10",,,∞,,Cluster admin,DOIP,Déménagement,2,S2,1,3,S2-1-3,2,2,2,2,,12,4,4,,4,1,,1,,,1FC,1FC,4RJ,4RJ,,Err :502,Err :502,-1,-1,4,4,Err :502,10.167.129.126,,Je ne peux pas m'authentifier sur la machine,?
63,TPB -1,DEM2,LDAPAP-02,Serveur,1,Rackable,1,DELL,PowerEdge R410,BM6YT4J,154,"0,67",,,∞,,Cluster Messagerie,DOIP,Déménagement,2,S2,1,7,S2-1-7,0,0,0,0,,2,2,2,,2,0,,1,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,10.167.128.154,,Eth0(prod) eth1(10.128.255.2/24),?
64,TPB -1,DEM2,LDAPCL-02,Serveur,1,Rackable,1,DELL,PowerEdge R410,9M6YT4J,187,"0,81",,,∞,,Cluster Messagerie,DOIP,Déménagement,2,S2,1,7,S2-1-7,0,0,0,0,,2,2,2,,2,0,,1,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,10.167.128.146,,Eth0(prod) eth1(192.168.251.2/28),?
65,TPB -1,DEM2,LDAPSMB-04,Serveur,1,Rackable,1,DELL,PowerEdge R610,H8FT75J,178,"0,77",,,∞,,Cluster Messagerie,DOIP,Déménagement,4,Stock,,,Stock--,0,0,0,0,,4,1,0,,4,0,,0,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,10.167.128.134,,,Stocker
