Localisation,Rack,Nom du matériel,Type,Nb Elts,Architecture,U,MARQUE,MODELE,numéro de série,CONSO(Watt),I,PDUOndulé,PDUNormal,cluster,critique,domaine,gestion,Action,Phase,Salle,Îlot,"FCTotal","FCUtilisé","RJ45Total","RJ45Utilisé","RJ45Futur","IPMIUtilisé","IPMIFutur","RJ45CM","IPMIDédié",Slot 1,Slot 2,Slot 3,Slot 4,Slot 5,Slot 6,Slot 7,,,,,,
TPB -1,DEM2,H-SGBD-02,Serveur,1,Rackable,2,DELL,PowerEdge R820,6Z4LJ32,252,"1,10",,,∞,,Cluster admin,DOIP,Déménagement,2,S2,1,2,2,,4,,,,4,1,,,1FC,1FC,4RJ,4RJ,,,,,,,
TPB -1,DEM2,LDAPAP-02,Serveur,1,Rackable,1,DELL,PowerEdge R410,BM6YT4J,154,"0,67",,,∞,,Cluster Messagerie,DOIP,Déménagement,2,S2,1,0,0,,2,,,,2,0,,,,,,,,,,,,,
TPB -1,DEM2,LDAPCL-02,Serveur,1,Rackable,1,DELL,PowerEdge R410,9M6YT4J,187,"0,81",,,∞,,Cluster Messagerie,DOIP,Déménagement,2,S2,1,0,0,,2,,,,2,0,,,,,,,,,,,,,
TPB -1,DEM2,LDAPSMB-04,Serveur,1,Rackable,1,DELL,PowerEdge R610,H8FT75J,178,"0,77",,,∞,,Cluster Messagerie,DOIP,Déménagement,4,Stock,,0,0,,1,,,,4,0,,,,,,,,,,,,,
TPB -1,DEM2,LDAPSMB-06,Serveur,1,Rackable,4,DELL,PowerEdge R900,6NVTQ3J,770,"3,35",,,∞,,Cluster Messagerie,DOIP,Déménagement,4,Stock,,2,2,,2,,,,4,0,,,,,,1FC,1FC,,,,,,
TPB -1,DEM2,NSS-02,Serveur,1,Rackable,2,DELL,PowerEdge R710,JSX4H4J,228,"0,99",,,∞,,Virtualisation de stockage,DOIP,Déménagement,1,S2,1,6,6,,4,,,,4,0,2FC,2FC,2FC,2RJ,,,,,,,,,
TPB -1,DEM2,NTP-02,Serveur,1,Rackable,1,DELL,PowerEdge R410,3MPH05J,153,,,,∞,,Cluster admin,DOIP,Déménagement,2,S2,1,,,,2,,,,2,1,,,,,,,,,,,,,
TPB -1,DEM2,RELTRANET-02,Serveur,1,Rackable,4,DELL,PowerEdge 6850,HMG6B3J,760,"3,30",,,∞,,Cluster Messagerie,DOIP,Déménagement,2,S2,1,0,0,,1,,,,2,0,,,,,,,,,,,,,
TPB -1,DEM2,RELTRANET-04,Serveur,1,Rackable,4,DELL,PowerEdge 6850,2NG6B3J,760,"3,30",,,∞,,Cluster Messagerie,DOIP,Déménagement,2,S2,1,0,0,,1,,,,2,0,,,,,,,,,,,,,
TPB -1,DEM2,SGBD-PRODM2-02,Serveur,1,Rackable,2,DELL,PowerEdge R810,GWT3Y4J,418,"1,82",,,∞,,Cluster Messagerie,DOIP,Déménagement,4,Stock,,2,2,,2,,,,4,0,2RJ,2FC,,,,2SAS,,,,,,,
TPB -1,DEM2,,Serveur,1,Rackable,1,DELL,PowerEdge R610,,177,"0,77",,,,,Stock,DOIP,Déménagement,4,Stock,,1,2,,0,,,,4,,,,,,,,,,,,,,
TPB -1,DEM3,DAVYCAL-04,Serveur,1,Rackable,2,DELL,PowerEdge R810,34Y6X4J,424,"1,84",,,∞,,Cluster Messagerie,DOIP,Déménagement,2,S2,1,0,0,,1,,,,4,0,,,,,,,,,,,,,
TPB -1,DEM3,LDAPBA-02,Serveur,1,Rackable,2,DELL,PowerEdge R710,GFC2F4J,228,"0,99",,,∞,,Cluster Messagerie,DOIP,Déménagement,2,S2,1,0,0,,2,,,,4,0,2RJ,,,,,,,,,,,,
TPB -1,DEM3,LDAPMAHA-02,Serveur,1,Rackable,2,DELL,PowerEdge R710,2GC2F4J,228,"0,99",,,∞,,Cluster Messagerie,DOIP,Déménagement,2,S2,1,0,0,,2,,,,4,0,2RJ,,,,,,,,,,,,
TPB -1,DEM3,LDAPSMB-02,Serveur,1,Rackable,2,DELL,PowerEdge R710,FFC2F4J,228,"0,99",,,∞,,Cluster Messagerie,DOIP,Déménagement,4,Stock,,0,0,,1,,,,4,0,2RJ,,,,,,,,,,,,
